"id","state","hbcu","degree","public","nonprofit","forprofit","fouryear","twoyear","lessthan2yr","pub4yr","nonprof4yr","twoyrlesspub","schools","netprice_2014","netprice_2013","netprice_2012","netprice_2011","netprice_2010","netprice_2008","netprice_2007","netprice_2006","netpriceinc_2014","netpriceinc_2013","netpriceinc_2012","netpriceinc_2011","netpriceinc_2010","netpriceinc_2008","netpriceinc_2007","netpriceinc_2006","gradtot_2015","gradtot_2014","gradtot_2013","gradtot_2012","gradtot_2011","gradtot_2010","gradtot_2009","gradtot_2008","gradtot_2007","gradtot_2006","gradbach_2015","gradbach_2014","gradbach_2013","gradbach_2012","gradbach_2011","gradbach_2010","gradbach_2009","gradbach_2008","gradbach_2007","gradbach_2006","endowment_2015","endowment_2014","endowment_2013","endowment_2012","endowment_2011","endowment_2010","endowment_2009","endowment_2008","endowment_2007","endowment_2006","transfer_2015","transfer_2014","transfer_2013","transfer_2012","transfer_2011","transfer_2010","transfer_2009","transfer_2008","transfer_2007","transfer_2006","fedaidperc_2014","fedaidperc_2013","fedaidperc_2012","fedaidperc_2011","fedaidperc_2010","fedaidperc_2008","fedaidperc_2007","fedaidperc_2006","avetotaid_2014","avetotaid_2013","avetotaid_2012","avetotaid_2011","avetotaid_2010","avetotaid_2008","avetotaid_2007","avetotaid_2006","avefedaid_2014","avefedaid_2013","avefedaid_2012","avefedaid_2011","avefedaid_2010","avefedaid_2008","avefedaid_2007","avefedaid_2006","percpell_2014","percpell_2013","percpell_2012","percpell_2011","percpell_2010","percpell_2008","percpell_2007","percpell_2006","tuitionfee_in_2014","tuitionfee_out_2014","tuitionfeeprog_2014","tuitionfee_in_2013","tuitionfee_out_2013","tuitionfeeprog_2013","tuitionfee_in_2012","tuitionfee_out_2012","tuitionfeeprog_2012","tuitionfee_in_2011","tuitionfee_out_2011","tuitionfeeprog_2011","tuitionfee_in_2010","tuitionfee_out_2010","tuitionfeeprog_2010","tuitionfee_in_2009","tuitionfee_out_2009","tuitionfeeprog_2009","tuitionfee_in_2008","tuitionfee_out_2008","tuitionfeeprog_2008","tuitionfee_in_2007","tuitionfee_out_2007","tuitionfeeprog_2007","tuitionfee_in_2006","tuitionfee_out_2006","tuitionfeeprog_2006","cost_2014","cost_2013","cost_2012","cost_2011","cost_2010","cost_2009","cost_2008","cost_2007","cost_2006","inexpfte_2014","inexpfte_2013","inexpfte_2012","inexpfte_2011","inexpfte_2010","inexpfte_2009","inexpfte_2008","inexpfte_2007","inexpfte_2006","tuitfte_2014","tuitfte_2013","tuitfte_2012","tuitfte_2011","tuitfte_2010","tuitfte_2009","tuitfte_2008","tuitfte_2007","tuitfte_2006","retrate_2015","retrate_2014","retrate_2013","retrate_2012","retrate_2011","retrate_2010","retrate_2009","retrate_2008","retrate_2007","retrate_2006"
"11","GA",9,129,58,42,81,87,54,40,31,34,27,181,8045.25,8321.14545454545,8141.37735849057,8240.5,7382.625,8045.25,8045.25,8045.25,6643.375,7179.98181818182,7128.94339622641,7288.79166666667,5988.97916666667,6643.375,6643.375,6643.375,0.371864734791577,0.381806888915894,0.391817562968005,0.423820321779505,0.433426109564841,0.431750687442713,0.438484395331223,0.42916096387541,0.430465126175582,0.424123310661602,0.490480326007081,0.504606762917933,0.529838478198471,0.540972085570517,0.53706661933499,0.536826283014816,0.546854377474703,0.529128440366972,0.529101423788427,0.522259660190695,19840341,18467053,17052639,14158753,14158753,13697517,13558230,13558230,13110541,13110541,0.141071019327239,0.139628144367481,0.127025187202178,0.113687198235303,0.121614639756004,0.12878093492209,0.130372298071508,0.129360043133839,0.121983914209115,0.140336542708241,0.44927455975191,0.535588133747643,0.533662135610891,0.566367520776581,0.565711704736095,0.44927455975191,0.44927455975191,0.44927455975191,4697.55655388194,6513.93413539426,6126.84488819386,6089.19107540412,6559.29441218222,4697.55655388194,4697.55655388194,4697.55655388194,1763.9610837302,2461.09450774175,2433.47415694294,2555.10729150822,2750.06953155246,1763.9610837302,1763.9610837302,1763.9610837302,0.441078746262045,0.533516585663825,0.531884464760683,0.563034971030325,0.561453090721383,0.441078746262045,0.441078746262045,0.441078746262045,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,11543.72,14435.6,15289.511627907,8345.01030927835,10565.6288659794,12684.2692307692,21731.4759036145,21731.4759036145,21731.4759036145,21731.4759036145,21731.4759036145,21731.4759036145,21731.4759036145,21731.4759036145,NA,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,6290.88068181818,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,9257.93181818182,0.737952102460221,0.718370252908529,0.716340424142491,0.698457199170829,0.688383983541834,0.688109338034748,0.71305766029017,0.712114572194857,0.709790355236518,0.717855108545993
"12","HI",0,22,11,6,10,14,9,4,4,6,6,27,5550.3,7189.5,6486.9,6574.2,5947,5550.3,5550.3,5550.3,4150.1,5677.7,5163.8,4829.9,4427,4150.1,4150.1,4150.1,0.352640979841796,0.346214304427561,0.315846257585974,0.309579600275672,0.333973128598848,0.329143187400665,0.328476017000607,0.326408608578688,0.328097731239092,0.320386810399493,0.500688515560452,0.49010989010989,0.469796736329802,0.477002741395065,0.472404918501573,0.454387489139878,0.433791289096755,0.439054726368159,0.468384879725086,0.454728370221328,3286746,3286746,3286746,3286746,3286746,2913788,2456304,2456304,2456304,2597772,0.0806328144934932,0.0753209326696358,0.109777478084963,0.0999310820124052,0.101590348231423,0.107209940760006,0.0980570734669095,0.0748767000448363,0.0794859590671109,0.0865567533291059,0.315737543167242,0.425534544555679,0.436163638610802,0.445944287642656,0.444418248261228,0.315737543167242,0.315737543167242,0.315737543167242,2261.79797730636,3998.42244469163,3582.78531701891,3642.46005644864,3154.10526936225,2261.79797730636,2261.79797730636,2261.79797730636,1133.60360138135,1863.54628599679,1881.3185020393,1898.94502392932,1867.87917010492,1133.60360138135,1133.60360138135,1133.60360138135,0.307597434632462,0.425287356321839,0.435051291558522,0.437967848815806,0.433337262760816,0.307597434632462,0.307597434632462,0.307597434632462,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,8947.63157894737,12985.9473684211,14069.75,5559.13333333333,8733.53333333333,8996.66666666667,18133.4347826087,18133.4347826087,18133.4347826087,18133.4347826087,18133.4347826087,18133.4347826087,18133.4347826087,18133.4347826087,NA,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,14962.7307692308,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,17158.8076923077,0.669210053859964,0.669016069918241,0.685372454066372,0.688263711281614,0.668396689577781,0.669504979073459,0.689012782159369,0.673775908681286,0.650899628252788,0.646945975744212
"13","IA",0,66,19,37,37,48,44,1,3,35,16,93,9039.38888888889,9978.78947368421,9973.84210526316,9816.1052631579,9325.26315789474,9039.38888888889,9039.38888888889,9039.38888888889,7349.83333333333,8293.05263157895,8448.52631578947,8315.21052631579,7985.47368421053,7349.83333333333,7349.83333333333,7349.83333333333,0.50211996155803,0.487287677161095,0.476800212964195,0.500472730219617,0.517137454201631,0.527473500841477,0.522768988724762,0.523522574330111,0.535883390585832,0.536520835301899,0.670311231393775,0.662101659204635,0.654574638844302,0.665006156946155,0.648468861107925,0.656692913385827,0.654114755014247,0.636663683150593,0.634423351256447,0.646279481468791,8666694,9147193,8666694,9147193,8666694,8666694,8821212,8821212,8821212,8821212,0.121431398043982,0.137509466623391,0.127459070943698,0.128231448715524,0.142359059212859,0.134813546310786,0.103778807213822,0.112106937477059,0.120539720855383,0.138555545056537,0.331281587937996,0.370434481564826,0.388705070557959,0.404774867969728,0.426036432160804,0.331281587937996,0.331281587937996,0.331281587937996,5556.48420250162,7675.33895909065,7122.47416645457,6731.9469428867,6486.24863902848,5556.48420250162,5556.48420250162,5556.48420250162,1218.87957760398,1609.06543188506,1650.31022878312,1701.57366472478,1999.26217022613,1218.87957760398,1218.87957760398,1218.87957760398,0.303498320015812,0.363135422076049,0.380701903226719,0.393667991506506,0.415174832495812,0.303498320015812,0.303498320015812,0.303498320015812,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,17740.3870967742,18679.3870967742,17086.84,12339.9523809524,13167.0317460317,12723.0476190476,24327.1162790698,24327.1162790698,24327.1162790698,24327.1162790698,24327.1162790698,24327.1162790698,24327.1162790698,24327.1162790698,NA,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,7114.30434782609,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,9542.19565217391,0.730286092078375,0.725039128252075,0.708870686650401,0.695234897450964,0.684446363979917,0.691116723399583,0.715344455112818,0.708245681609434,0.717366361236217,0.708444530393863
"14","ID",0,20,9,7,27,15,26,2,4,7,5,43,10858.5714285714,11157.2222222222,10412,10208,10277.6666666667,10858.5714285714,10858.5714285714,10858.5714285714,8730.57142857143,9642.22222222222,9325.88888888889,9443.66666666667,8815.11111111111,8730.57142857143,8730.57142857143,8730.57142857143,0.42099367949436,0.394801685080677,0.409199178644764,0.417983290594756,0.424516964038088,0.434096534653465,0.417145957677699,0.42218148487626,0.426214969847464,0.410780287474333,0.46003240615717,0.451863354037267,0.465595635040921,0.454806964420893,0.435067839570598,0.441312147616607,0.430579964850615,0.415800733496333,0.439259151232317,0.389702714347264,3417279,3857675,3857675,2921870,2921870,2461062,2461062,2005948,1565552,1565552,0.178654292343387,0.180669263174628,0.162464065708419,0.182893539581438,0.200517703614681,0.154806105610561,0.176994031470429,0.115123739688359,0.103139411138702,0.11129363449692,0.36834008097166,0.468945868945869,0.480122324159021,0.49941348973607,0.507130988645805,0.36834008097166,0.36834008097166,0.36834008097166,3063.76186234818,4290.72511192511,4121.89132542702,3818.37016129032,3795.54029354749,3063.76186234818,3063.76186234818,3063.76186234818,1320.71198380567,2000.14847374847,2005.10218542552,2099.742228739,2303.00477707006,1320.71198380567,1320.71198380567,1320.71198380567,0.347692307692308,0.468050468050468,0.477884687103752,0.493548387096774,0.501246192190529,0.347692307692308,0.347692307692308,0.347692307692308,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,10973.6315789474,14565.3157894737,15695.7826086957,7236,10693.6923076923,9099.18181818182,19876.5952380952,19876.5952380952,19876.5952380952,19876.5952380952,19876.5952380952,19876.5952380952,19876.5952380952,19876.5952380952,NA,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,4600.14285714286,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,7260.30952380952,0.701296029623534,0.695068184148467,0.675887368629784,0.661061151079137,0.673382339595245,0.671371156182821,0.650968181375888,0.637263339070568,0.646569939012394,0.650810428455942
"15","IL",0,192,66,96,154,128,76,114,12,87,50,316,6540.62711864407,7710.11475409836,7518.81967213115,7489.87096774194,6917.08196721311,6540.62711864407,6540.62711864407,6540.62711864407,5362.94915254237,6583.09836065574,6398.85245901639,6320.25806451613,5638.27868852459,5362.94915254237,5362.94915254237,5362.94915254237,0.48250714813506,0.480322532919071,0.468595032546484,0.46865283870693,0.472977528089888,0.471727754738994,0.46610769957487,0.468032262823981,0.460933587098067,0.463323881497068,0.625119061226045,0.622451069852325,0.620764087870105,0.630993150684932,0.625616547334924,0.625632821675914,0.612992906641591,0.610254334767605,0.610366318432498,0.611559830057426,27720548,27285165,26801181,27128946,26801181,27246235,27246235,26951169,26652508,27097562,0.124661333676015,0.115602477120453,0.131736272604674,0.123834064483155,0.13685393258427,0.141840612690455,0.136643835616438,0.154490237544878,0.143794450565962,0.150117399504741,0.387297449932664,0.47828512787813,0.484804856220086,0.499098786494328,0.492511310309945,0.387297449932664,0.387297449932664,0.387297449932664,4800.76846952517,7696.5405952037,7025.14578388264,6726.08962014092,6448.94822079224,4800.76846952517,4800.76846952517,4800.76846952517,1494.65990703332,2183.4104255298,2112.01968948208,2194.4836962284,2274.55919296372,1494.65990703332,1494.65990703332,1494.65990703332,0.378244059255398,0.475057039524156,0.479804661659987,0.493971026226759,0.487125448431543,0.378244059255398,0.378244059255398,0.378244059255398,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,15501.3466666667,18389.82,16028.4122807018,11484.1571428571,13983.7857142857,10835.9666666667,22564.5447470817,22564.5447470817,22564.5447470817,22564.5447470817,22564.5447470817,22564.5447470817,22564.5447470817,22564.5447470817,NA,7696.89,7696.89,7696.89,7696.89,7696.89,7696.89,7696.89,7696.89,7696.89,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,10972.8633333333,0.731996375148584,0.731625974617267,0.711909424449096,0.707570365214267,0.71067458838489,0.718484488163442,0.69070474362051,0.68483664960152,0.667930479247131,0.661561654425976
"16","IN",0,86,17,41,76,74,16,45,15,39,2,134,10145.8235294118,10676.1764705882,11221.5882352941,11337.4444444444,10947.7777777778,10145.8235294118,10145.8235294118,10145.8235294118,7919.76470588235,8110,8917.41176470588,8940.22222222222,8630.22222222222,7919.76470588235,7919.76470588235,7919.76470588235,0.485265225933202,0.483341529382837,0.468551127587272,0.474778518228146,0.529176879892465,0.533077718945895,0.552331142269887,0.554912580572088,0.545998933595833,0.543268121867858,0.59504318607221,0.59642617824436,0.594292542349055,0.594996780578542,0.578392424355995,0.569719068128426,0.59299347061778,0.593853330940968,0.586007635950882,0.580498224303876,8699641,8851178,8851178,9313095,9313095,8851178,8851178,8851178,8851178,8851178,0.100641576620825,0.0838763216129825,0.088260735248687,0.100854566836535,0.0967027753617459,0.132473170632747,0.0480270253769918,0.0173809180584444,0.0176161765309052,0.0230441802436518,0.296976464524996,0.425241220821331,0.420448009203042,0.447951521132407,0.422567266841999,0.296976464524996,0.296976464524996,0.296976464524996,5916.4144476894,7706.1924887063,7333.97152808845,6814.1533313802,7010.06315328073,5916.4144476894,5916.4144476894,5916.4144476894,1288.80833190174,1926.74876831783,1882.63537738864,1939.28103557276,2035.80699979769,1288.80833190174,1288.80833190174,1288.80833190174,0.284916680982649,0.422958870472683,0.417955518629769,0.445684856521672,0.414306426596534,0.284916680982649,0.284916680982649,0.284916680982649,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,19236.36,21827,16688.7692307692,13813.3582089552,15686.5373134328,10060.96,25689.6048387097,25689.6048387097,25689.6048387097,25689.6048387097,25689.6048387097,25689.6048387097,25689.6048387097,25689.6048387097,NA,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,7314.58333333333,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,10869.9166666667,0.757044551778155,0.741893178592602,0.743450410249028,0.716198400876607,0.761339114651608,0.764086949818854,0.761401164455474,0.759268472269209,0.718834109807159,0.744493674692756
"17","KS",0,75,34,26,34,44,31,19,8,26,26,94,8005.76666666667,9019.29411764706,8798.91176470588,8491.76470588235,7825.20588235294,8005.76666666667,8005.76666666667,8005.76666666667,6443.5,7523.17647058824,7625.29411764706,7218.61764705882,6360.55882352941,6443.5,6443.5,6443.5,0.442272428467633,0.440405306591455,0.443502120229484,0.433062614618811,0.436641402179062,0.433466072625478,0.450486849016201,0.446556205328135,0.440601878792917,0.451029528463434,0.536526864035088,0.522991206283144,0.538145073980512,0.530019507261036,0.511780665429102,0.516151345369025,0.5276008492569,0.52827892325315,0.534622302158273,0.531580868930267,9303963,9303963,9148655,9148655,9148655,9148655,9148655,9148655,9148655,9148655,0.203266096944954,0.215884954211498,0.211809143712361,0.202477637636139,0.186049265750829,0.18298308559713,0.179911922750596,0.186687784275504,0.16755341258625,0.154408386584806,0.323671668137688,0.464851251377302,0.462487517314693,0.472026251025431,0.47837117441151,0.323671668137688,0.323671668137688,0.323671668137688,3359.33726390115,4867.13379505745,4574.20864607158,4423.83698113208,4360.07742702078,3359.33726390115,3359.33726390115,3359.33726390115,1185.31763459841,1981.4792381552,1927.69626002642,1924.05637407711,2049.61408523074,1185.31763459841,1185.31763459841,1185.31763459841,0.317634598411297,0.457673540059814,0.456270334697033,0.462707136997539,0.47005363049552,0.317634598411297,0.317634598411297,0.317634598411297,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,11089.5774647887,12541.8873239437,15982.3181818182,8039.24561403509,9373.50877192982,7016.4,20528.1511627907,20528.1511627907,20528.1511627907,20528.1511627907,20528.1511627907,20528.1511627907,20528.1511627907,20528.1511627907,NA,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,6559.10638297872,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,9166.40425531915,0.681104185218166,0.653293010752688,0.66449739337322,0.662256316419171,0.663069163756922,0.676510019757268,0.680300438759575,0.66802827965436,0.663628985982458,0.664602707234286
"18","KY",2,77,25,29,57,53,51,7,8,27,16,111,7692.79166666667,7954.79166666667,8143.45833333333,7857.45833333333,7730.29166666667,7692.79166666667,7692.79166666667,7692.79166666667,5527.75,6532.79166666667,6737.20833333333,6573.375,6187.54166666667,5527.75,5527.75,5527.75,0.422226396865439,0.41288731058039,0.407959514838142,0.407565089241854,0.417577534879588,0.417766236903288,0.437337387084515,0.400448681996635,0.414153766935925,0.409137882441362,0.496210230109381,0.499182338511856,0.499316521329248,0.490646380555954,0.489839413164155,0.48435475834579,0.495457100037467,0.459160493827161,0.473908413205538,0.492364545405141,9451828,9451828,9451828,9451828,9451828,8990069,8990069,8990069,8990069,8990069,0.0566528903440502,0.0709967741061021,0.0726917682004456,0.0700289285519349,0.0655825113303119,0.0404299646728464,0.0361914228081972,0.0399763195612887,0.0269365687252599,0.0538314596185764,0.42486935548707,0.499847734005149,0.51343340403546,0.534807602387436,0.541796382535313,0.42486935548707,0.42486935548707,0.42486935548707,5841.70523917995,7997.85559646743,7530.47226301191,7274.13529719174,6696.53775696606,5841.70523917995,5841.70523917995,5841.70523917995,1720.77312072893,2222.62415215526,2252.7844944798,2345.76150397448,2481.00437389045,1720.77312072893,1720.77312072893,1720.77312072893,0.41945598284872,0.498186650424961,0.510986022733453,0.529196578375554,0.538014253737103,0.41945598284872,0.41945598284872,0.41945598284872,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,13850.0606060606,17395.7272727273,14937.7142857143,9191.703125,11484.453125,8774.22222222222,20857.13,20857.13,20857.13,20857.13,20857.13,20857.13,20857.13,20857.13,NA,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,6215.30555555556,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,8468.81481481482,0.690771494639479,0.691518261394506,0.678609785202864,0.670427861303406,0.677969038817006,0.683001004160092,0.68211861643795,0.677238179542749,0.67900421418678,0.67627177172629
"19","LA",6,66,36,18,79,38,34,61,17,13,16,133,6990.96551724138,9167.96666666667,8981.4,7990.06896551724,7385.8275862069,6990.96551724138,6990.96551724138,6990.96551724138,5981.96551724138,8015.66666666667,8052.76666666667,7052.65517241379,6006.03448275862,5981.96551724138,5981.96551724138,5981.96551724138,0.411384899196205,0.40582993129543,0.402729199788023,0.399686565037755,0.383041201223019,0.376784783741532,0.385289794204116,0.389626020919903,0.383346320230002,0.373596479530604,0.481451217519203,0.487196215951721,0.473526130610143,0.452941950770041,0.426696466783965,0.420116574503064,0.423259259259259,0.432023335567031,0.44143606870229,0.421006313372872,11003392,10675372,11156837,10192160,9751244,8698583,8058905,8058905,8058905,8058905,0.102464092765845,0.103679179528029,0.0971383147853736,0.0834021940447357,0.0838555384009929,0.0855914538822303,0.0707948341033179,0.0410660553087835,0.0563452185829057,0.0754233897853047,0.442058816279242,0.542669534181386,0.509091335663843,0.527544265524429,0.532223977219639,0.442058816279242,0.442058816279242,0.442058816279242,4905.4387802894,6449.62915255788,6092.00007038453,5683.12270655336,5615.42019087451,4905.4387802894,4905.4387802894,4905.4387802894,1631.76808736165,2429.92594033129,2249.77777256411,2267.71933481458,2410.70752597273,1631.76808736165,1631.76808736165,1631.76808736165,0.430497695170952,0.533632286995516,0.502334420383361,0.520420551114369,0.521612422415519,0.430497695170952,0.430497695170952,0.430497695170952,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,10394.7321428571,13694.1428571429,13758.4754098361,6613.68,8637.92,10072.1219512195,19179.4051724138,19179.4051724138,19179.4051724138,19179.4051724138,19179.4051724138,19179.4051724138,19179.4051724138,19179.4051724138,NA,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,6240.9918699187,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,8497.17886178862,0.680420324554403,0.674147145630035,0.674588567922968,0.671916633689487,0.675702146808905,0.675954846840923,0.692802359882006,0.672571667963373,0.667700724054706,0.591966286531237
"20","MA",0,126,43,88,63,105,27,62,14,84,28,194,9619.96551724138,12403.425,11938.2051282051,11873.4615384615,11556.3,9619.96551724138,9619.96551724138,9619.96551724138,7568.86206896552,10558.4,10087.6153846154,10506.4473684211,9876,7568.86206896552,7568.86206896552,7568.86206896552,0.603208429527023,0.592722816334272,0.580782226604986,0.565516745723731,0.574000665718522,0.580745003499495,0.586355743796959,0.580965400514273,0.571018873108825,0.576553867403315,0.719500896887505,0.708871140965808,0.701714038605181,0.702243096607013,0.696570791895349,0.703996252847623,0.700085873765565,0.702259362426493,0.690650810910858,0.693592926925487,25251285,25417886,25417886,25417886,24795903,24778245,22437552,21860274,22437552,22437552,0.0833185343041496,0.0737493252410895,0.0774975709500123,0.0731780940060371,0.0729415680697189,0.0578427560463489,0.046070460704607,0.0441200403606419,0.0690525665023785,0.0505352209944751,0.310611524209793,0.362143463047397,0.359156135935379,0.369101370004386,0.378987926403775,0.310611524209793,0.310611524209793,0.310611524209793,7397.10163885504,10646.2644735447,10050.4830739633,9388.60391134962,9102.70127262231,7397.10163885504,7397.10163885504,7397.10163885504,1299.18880405859,1659.26933782208,1631.21679031217,1640.28986815965,1800.26865634178,1299.18880405859,1299.18880405859,1299.18880405859,0.294297580264107,0.359956526349274,0.357232273452015,0.362019143940762,0.374218730389819,0.294297580264107,0.294297580264107,0.294297580264107,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,25267.6542056075,27312.476635514,14736.8571428571,17908.0566037736,19746.8396226415,12093.5833333333,31730.0714285714,31730.0714285714,31730.0714285714,31730.0714285714,31730.0714285714,31730.0714285714,31730.0714285714,31730.0714285714,NA,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,10625.7591623037,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,14856.8795811518,0.812478665459565,0.814529737410817,0.803436405896025,0.796696701039874,0.789356005582614,0.779071388733965,0.782907534690702,0.775520266840693,0.769797111468462,0.775398590738696
